date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-04-04,41.57,41.705,41.4,41.69,12552672,12552672,0.12,0.289,41.5699,"Apr 4, 17",-0.010208926875593535
2017-04-05,41.72,41.74,41.47,41.51,19955782,19955782,-0.18,-0.432,41.6118,"Apr 5, 17",-0.014482431149097802
2017-04-06,41.05,41.08,40.6,40.6,20492316,20492316,-0.91,-2.192,40.748,"Apr 6, 17",-0.03608736942070266
2017-04-07,40.6,40.86,40.521,40.59,20333031,20333031,-0.01,-0.025,40.676,"Apr 7, 17",-0.03632478632478618
2017-04-10,40.6,40.68,40.31,40.38,18215046,18215046,-0.21,-0.517,40.4394,"Apr 10, 17",-0.04131054131054119
2017-04-11,40.38,40.39,40.07,40.31,19610735,19610735,-0.07,-0.173,40.2474,"Apr 11, 17",-0.042972459639126194
2017-04-12,40.21,40.57,40.07,40.56,22195768,22195768,0.25,0.62,40.4111,"Apr 12, 17",-0.037037037037036924
2017-04-13,40.51,40.76,40.25,40.28,17556190,17556190,-0.28,-0.69,40.4601,"Apr 13, 17",-0.043684710351376936
2017-04-17,40.3,40.49,40.22,40.3,12118645,12118645,0.02,0.05,40.3415,"Apr 17, 17",-0.04320987654320989
2017-04-18,40.22,40.43,40.18,40.25,15920226,15920226,-0.05,-0.124,40.2785,"Apr 18, 17",-0.04439696106362767
2017-04-19,40.32,40.4484,40.19,40.25,23799483,23799483,0,0,40.2979,"Apr 19, 17",-0.04439696106362767
2017-04-20,39.99,40.51,39.92,40.36,21715734,21715734,0.11,0.273,40.2858,"Apr 20, 17",-0.04178537511870841
2017-04-21,40.23,40.36,39.81,39.93,23898137,23898137,-0.43,-1.065,40.0304,"Apr 21, 17",-0.051994301994301946
2017-04-24,40.1,40.15,39.86,40.02,24033786,24033786,0.09,0.225,40.0072,"Apr 24, 17",-0.04985754985754973
2017-04-25,40.08,40.25,39.69,39.94,38377803,38377803,-0.08,-0.2,39.9259,"Apr 25, 17",-0.05175688509021842
2017-04-26,40.02,40.56,39.85,40.44,34352326,34352326,0.5,1.252,40.2431,"Apr 26, 17",-0.03988603988603988
2017-04-27,40.37,40.4,39.88,39.91,22646071,22646071,-0.53,-1.311,40.1107,"Apr 27, 17",-0.05246913580246916
2017-04-28,39.88,40.06,39.52,39.63,24994983,24994983,-0.28,-0.702,39.7183,"Apr 28, 17",-0.059116809116809
2017-05-01,39.68,39.7,39.06,39.1,24748640,24748640,-0.53,-1.337,39.2821,"May 1, 17",-0.07169990503323828
2017-05-02,39.14,39.22,38.88,38.95,24852467,24852467,-0.15,-0.384,38.9997,"May 2, 17",-0.0752611585944918
2017-05-03,38.94,38.98,38.15,38.4,33742695,33742695,-0.55,-1.412,38.4224,"May 3, 17",-0.0883190883190883
2017-05-04,38.41,38.41,37.63,38.01,31447920,31447920,-0.39,-1.016,37.9627,"May 4, 17",-0.09757834757834757
2017-05-05,38.08,38.71,38.03,38.56,21829161,21829161,0.55,1.447,38.4193,"May 5, 17",-0.08452041785375108
2017-05-08,38.78,38.78,38.32,38.57,20139719,20139719,0.01,0.026,38.4881,"May 8, 17",-0.08428300094966755
2017-05-09,38.53,38.55,38.16,38.22,21591396,21591396,-0.35,-0.907,38.2579,"May 9, 17",-0.09259259259259256
